rank,name,team,cur,pos,age,gp,mpg,usg_pct,to_pct,fta,ft_pct,2pa,2p_pct,3pa,3p_pct,efg_pct,ts_pct,ppg,rpg,apg,spg,bpg,topg,p_r,p_a,p_r_a,vi,ortg,drtg,season
,Jabari Smith Jr.,Hou,*,F,22.7,36,34.6,18.1,9.4,95,0.758,230,0.522,225,0.342,0.518,0.546,15.1,6.9,1.8,0.8,0.8,1.3,22,16.9,23.8,6.6,119.2,108.8,2025-2026
,Alperen Sengun,Hou,*,C,23.5,30,34.4,26.9,16.3,179,0.721,424,0.542,69,0.304,0.53,0.57,21.7,8.9,6.6,1.4,1,3.2,30.6,28.3,37.2,12.6,120.8,105.4,2025-2026
,Steven Adams,Hou,*,C,32.5,30,22.6,12.2,20.7,79,0.582,130,0.5,0,0,0.5,0.534,5.9,8.5,1.5,0.7,0.6,1.1,14.4,7.4,15.9,7.5,124.8,107.7,2025-2026
,Kevin Durant,Hou,*,F,37.3,35,36.4,26.8,14.4,212,0.892,433,0.575,190,0.4,0.583,0.639,26.1,5.4,4.5,0.7,1,3,31.5,30.6,36,9.4,126.6,112,2025-2026
,Amen Thompson,Hou,*,G-F,23,37,37,21,15.8,180,0.806,440,0.575,76,0.197,0.534,0.585,18.8,7.6,5.1,1.3,0.5,2.6,26.5,23.9,31.6,9.7,123.7,110.5,2025-2026
,Tari Eason,Hou,*,F,24.7,21,23.7,20.4,14.6,25,0.64,103,0.485,96,0.469,0.59,0.598,12,6,1.6,1.1,0.6,1.6,17.9,13.5,19.5,8.2,119,106.2,2025-2026
,Reed Sheppard,Hou,*,G,21.6,37,25.4,20.3,10,44,0.773,168,0.5,228,0.404,0.561,0.575,12.9,2.6,3.2,1.4,0.6,1.2,15.6,16.2,18.8,7.5,124.4,108.5,2025-2026
,Clint Capela,Hou,*,C,31.7,33,11.3,14,13.9,24,0.5,99,0.535,0,0,0.535,0.539,3.6,4.5,0.5,0.5,0.7,0.5,8.1,4.1,8.6,7.1,126.4,107.6,2025-2026
,Josh Okogie,Hou,*,G,27.4,37,19.2,12.4,14.5,41,0.707,78,0.5,87,0.391,0.545,0.571,5.6,2.8,0.9,0.9,0.2,0.8,8.4,6.6,9.4,5,120.3,109.4,2025-2026
,Luguentz Dort,Okc,*,G,26.7,31,26.9,13.6,8.3,23,0.913,59,0.559,173,0.324,0.504,0.527,8.2,3.7,1,0.9,0.6,0.7,11.9,9.3,12.9,4.6,108.4,100.5,2025-2026
,Chet Holmgren,Okc,*,C-F,23.7,35,28.9,22.7,13.1,138,0.783,284,0.662,128,0.367,0.627,0.661,17.9,8.4,1.6,0.6,1.9,1.8,26.3,19.4,27.8,8.6,124.7,99.2,2025-2026
,Isaiah Hartenstein,Okc,*,C-F,27.7,24,26.9,17,21.7,57,0.649,176,0.659,4,0,0.644,0.656,11.2,10.4,3,1.1,0.8,2.1,21.6,14.2,24.5,10.5,128.3,95.7,2025-2026
,Cason Wallace,Okc,*,G,22.2,39,26.8,12.6,11.7,22,0.773,115,0.487,148,0.351,0.51,0.523,7.3,3,2.1,2.2,0.2,0.9,10.3,9.4,12.4,5.3,109.4,103,2025-2026
,Shai Gilgeous-Alexander,Okc,*,G,27.5,39,33.3,33.5,8.9,361,0.886,582,0.596,196,0.393,0.594,0.664,31.9,4.5,6.4,1.4,0.7,1.9,36.4,38.3,42.8,11.7,134.2,105.3,2025-2026
,Jaylin Williams,Okc,*,F,23.5,27,18.3,15.6,15.9,37,0.703,26,0.615,111,0.297,0.478,0.512,5.8,4.9,2.5,0.7,0.6,1,10.7,8.3,13.2,9.1,108.6,96.9,2025-2026
,Aaron Wiggins,Okc,*,G,27,28,22.9,19.2,10.9,27,0.704,114,0.518,130,0.385,0.549,0.561,10.3,3.1,1.8,0.7,0.7,1.1,13.4,12,15.1,6.7,109.2,106,2025-2026
,Alex Caruso,Okc,*,G,31.9,29,18.5,14.9,13,22,0.909,61,0.623,92,0.315,0.533,0.562,6.3,2.8,2.1,1.4,0.4,0.8,9.1,8.4,11.3,7.2,116.3,102.6,2025-2026
,Brooks Barnhizer,Okc,*,G,23.9,21,7.6,8.7,9.9,6,0.667,21,0.524,6,0.167,0.463,0.489,1.4,1.8,0.4,0.1,0.1,0.1,3.2,1.8,3.6,5.3,114.3,102.8,2025-2026
,Ajay Mitchell,Okc,*,G,23.6,39,26.3,22.1,12,126,0.881,292,0.538,124,0.339,0.529,0.584,14.1,3.5,3.6,1.4,0.3,1.5,17.6,17.7,21.2,8.6,118.4,102.7,2025-2026
,Chris Youngblood,Okc,*,G,23.9,26,5.3,15.1,2.2,7,1,5,0.4,39,0.308,0.455,0.499,1.8,0.8,0.3,0.1,0,0,2.7,2.1,2.9,5.7,115.6,98.1,2025-2026
,Jimmy Butler,Gol,*,F,36.3,36,31.4,22.7,11.9,277,0.866,347,0.545,81,0.383,0.55,0.647,19.8,5.6,4.9,1.4,0.2,1.6,25.3,24.7,30.3,10.4,137,113.4,2025-2026
,Jonathan Kuminga,Gol,*,F,23.3,18,24.8,23.6,19.5,54,0.741,131,0.473,50,0.32,0.475,0.518,11.8,6.2,2.6,0.3,0.3,2.4,17.9,14.3,20.5,9.3,99.7,109.6,2025-2026
